App YnH,Common Platform Enumeration
abantecart,cpe:2.3:a:abantecart:abantecart
adguardhome,cpe:2.3:a:adguard:adguardhome
adminer,cpe:2.3:a:adminer:adminer
airsonic,cpe:2.3:a:airsonic_project:airsonic
ampache,cpe:2.3:a:ampache:ampache
askbot,cpe:2.3:a:askbot:askbot
automad,cpe:2.3:a:automad:automad
backdrop,cpe:2.3:a:backdropcms:backdrop
beehive,cpe:2.3:a:beehive_forum:beehive_forum
blogotext,cpe:2.3:a:blogotext_project:blogotext
bludit,cpe:2.3:a:bludit:bludit
bookstack,cpe:2.3:a:bookstackapp:bookstack
borg,cpe:2.3:a:borgbackup:borg
cinny,cpe:2.3:a:cinny_project:cinny
cockpit,cpe:2.3:a:agentejo:cockpit
code-server,cpe:2.3:a:coder:code-server
codimd,cpe:2.3:a:hackmd:codimd
concrete5,cpe:2.3:a:concrete5:concrete5
converse,cpe:2.3:a:conversejs:converse.js
coturn,cpe:2.3:a:coturn_project:coturn
couchdb,cpe:2.3:a:apache:couchdb
cryptpad,cpe:2.3:a:xwiki:cryptpad
discourse,cpe:2.3:a:discourse:discourse
documize,cpe:2.3:a:documize:documize
dokuwiki,cpe:2.3:a:dokuwiki:dokuwiki
dolibarr,cpe:2.3:a:dolibarr:dolibarr
domoticz,cpe:2.3:a:domoticz:domoticz
droppy,cpe:2.3:a:droppy_project:droppy
drupal,cpe:2.3:a:drupal:drupal
easyappointments,cpe:2.3:a:easyappointments:easyappointments
elabftw,cpe:2.3:a:elabftw:elabftw
emoncms,cpe:2.3:a:openenergymonitor:emoncms
firefly-iii,cpe:2.3:a:firefly-iii:firefly_iii
flarum,cpe:2.3:a:flarum:flarum
flask,cpe:2.3:a:palletsprojects:flask
fluxbb,cpe:2.3:a:fluxbb:fluxbb
focalboard,cpe:2.3:a:mattermost:focalboard
freepbx,cpe:2.3:a:freepbx:disa
freshrss,cpe:2.3:a:freshrss:freshrss
friendica,cpe:2.3:a:friendica:friendica
galette,cpe:2.3:a:galette:galette
gateone,cpe:2.3:a:liftoffsoftware:gate_one
getsimple,cpe:2.3:a:get-simple:getsimple_cms
ghost,cpe:2.3:a:ghost:ghost
gitea,cpe:2.3:a:gitea:gitea
gitlab,cpe:2.3:a:gitlab:gitlab
